labelpredict	labelreal	paragraph
0	0	Main content starts below.
0	0	To learn more about Privacy at LinkedIn please visit our Privacy Hub.
0	0	Effective May 8, 2018
0	0	Our Privacy Policy has been updated
0	0	Click here to see a summary of changes.
0	0	See a guided tour of the main changes.
0	0	Your Privacy Matters
0	0	LinkedInâs mission is to connect the worldâs professionals to allow them to be more productive and successful
0	0	Central to this mission is our commitment to be transparent about the data we collect about you, how it is used and with whom it is shared.
0	0	This Privacy Policy applies when you use our Services (described below)
0	0	We offer our users choices about the data we collect, use and share as described in this Privacy Policy, Cookie Policy, Settings
0	0	and our Help Center.
0	0	View our Privacy Policy video
0	0	Table of Contents:
0	0	Data We Collect
3	3	How We Use Your Data
0	0	How We Share Information
0	0	Your Choices & Obligations
0	0	Other Important Information
0	0	We are a social network and online platform for professionals
3	0	People use our Services to find and be found for business opportunities and to connect with others and information
0	0	Our Privacy Policy applies to any Member or Visitor to our Services.
0	0	Our registered users (âMembersâ? share their professional identities, engage with their network, exchange knowledge and professional insights, post and view relevant content, learn and find business and career opportunities
0	0	Content and data on some of our Services is viewable to non-members (âVisitorsâ?.
0	0	We use the term âDesignated Countriesâ?to refer to countries in the European Union (EU), European Economic Area (EEA), and Switzerland.
0	0	This Privacy Policy, including our Cookie Policy applies to your use of our Services.
0	0	This Privacy Policy applies to LinkedIn.com, LinkedIn-branded apps, Slideshare, LinkedIn Learning and other LinkedIn-related sites, apps, communications and services (âServicesâ?, including off-site Services, such as our ad services and the âApply with LinkedInâ?and âShare with LinkedInâ?plugins, but excluding services that state that they are offered under a different privacy policy.
0	0	Data Controllers and Contracting Parties
0	0	If you reside in the âDesignated Countriesâ? LinkedIn Ireland Unlimited Company (âLinkedIn Irelandâ? will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services; you are entering into the User Agreement with LinkedIn Ireland.
0	0	If you reside outside of the Designated Countries: LinkedIn Corporation will be the controller of your personal data provided to, or collected by or for, or processed in connection with, our Services; you are entering into the User Agreement with LinkedIn Corporation.
0	0	As a Visitor or Member of our Services, the collection, use and sharing of your personal data is subject to this Privacy Policy (which includes our Cookie Policy and other documents referenced in this Privacy Policy) and updates.
0	0	Changes to the Privacy Policy apply to your use of our Services after the âeffective date.â?
0	0	LinkedIn (âweâ?or âusâ? can modify this Privacy Policy, and if we make material changes to it, we will provide notice through our Services, or by other means, to provide you the opportunity to review the changes before they become effective
8	0	If you object to any changes, you may close your account.
0	0	You acknowledge that your continued use of our Services after we publish or send a notice about our changes to this Privacy Policy means that the collection, use and sharing of your personal data is subject to the updated Privacy Policy.
0	0	Data We Collect
0	0	1.1 Data You Provide To Us
0	0	You provide data to create an account with us.
1	0	To create an account you need to provide data including your name, email address and/or mobile number, and a password
0	0	If you register for a premium Service, you will need to provide payment (e.g., credit card) and billing information.
0	0	You create your LinkedIn profile (a complete profile helps you get the most from our Services).
0	0	You have choices about the information on your profile, such as your education, work experience, skills, photo, city or area and endorsements
0	0	Some Members may choose to complete a separate ProFinder profile
0	0	You donât have to provide additional information on your profile; however, profile information helps you to get more from our Services, including helping recruiters and business opportunities find you
0	0	Itâs your choice whether to include sensitive information
0	0	on your profile and to make that sensitive information public
0	0	Please do not post or add personal data to your profile that you would not want to be publicly available.
0	0	You give other data to us, such as by syncing your address book or calendar.
0	0	Posting and Uploading
1	1	We collect personal data from you when you provide, post or upload it to our Services, such as when you fill out a form, (e.g., with demographic data or salary), respond to a survey, or submit a resume
0	1	If you opt to import your address book, we receive your contacts (including contact information your service provider(s) or app automatically added to your address book when you communicated with addresses or numbers not already in your list).
0	1	If you sync your contacts or calendars with our Services, we will collect your address book and calendar meeting information to keep growing your network by suggesting connections for you and others, and by providing information about them, e.g
0	1	times, places, attendees and contacts.
0	0	You donât have to post or upload personal data; though if you donât, it may limit your ability to grow and engage with your network over our Services.
0	0	1.2 Data From Others
0	0	Others may post or write about you.
0	0	Content and News
0	0	You and others may post content that includes information about you (as part of articles, posts, comments, videos) on our Services
0	1	Unless you opt-out, we collect public information about you, such as professional-related news and accomplishments (e.g., patents granted, professional recognition, conference speakers, projects, etc.) and make it available as part of our Services (e.g
0	1	suggestions for your profile, or notifications of mentions in the news).
0	0	Others may sync their contacts or calendar with our Services.
0	0	Contact and Calendar Information
0	0	We receive personal data (including contact information) about you when others import or sync their contacts or calendar with our Services, associate their contacts with Member profiles, or send messages using our Services (including invites or connection requests)
0	0	If you or others opt-in to sync email accounts with our Services, we will also collect âemail headerâ?information that we can associate with Member profiles.
0	0	Customers and partners may provide data to us.
0	1	We receive personal data about you when you use the services of our customers and partners, such as employers, prospective employers and applicant tracking systems providing us job application data.
0	0	Related Companies and Other Services
0	0	We receive data about you when you use some of the other services provided by us or our affiliates
0	0	, including Microsoft For example, you may choose to send information about your contacts in Microsoft apps and services, such as Outlook, to us for improved professional networking activities on our Services.
3	0	1.3 Service Use
0	0	We log your visits and use of our Services, including mobile apps.
0	0	We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology (e.g., our off-site plugins), such as when you view or click on content (e.g., learning video) or ads (on or off our sites and apps), perform a search, install or update one of our mobile apps, share articles or apply for jobs
0	0	We use log-ins, cookies, device information and internet protocol (âIPâ? addresses to identify you and log your use.
0	0	1.4 Cookies, Web Beacons and Other Similar Technologies
0	1	We collect data through cookies and similar technologies.
0	0	As further described in our Cookie Policy
0	0	, we use cookies and similar technologies (e.g., web beacons, pixels, ad tags and device identifiers) to recognize you and/or your device(s) on, off and across different Services and devices
0	0	We also allow some others to use cookies as described in our Cookie Policy
0	0	You can control cookies through your browser settings and other tools
0	0	You can also opt-out from our use of cookies and similar technologies that track your behavior on the sites of others for third party advertising
0	0	For Visitors, the opt-out is here.
0	0	1.5 Your Device and Location
0	1	We receive data from your devices and networks, including location data.
0	0	When you visit or leave our Services (including our plugins or cookies or similar technology on the sites of others), we receive the URL of both the site you came from and the one you go to next
0	0	We also get information about your IP address, proxy server, operating system, web browser and add-ons, device identifier and features, and/or ISP or your mobile carrier
0	0	If you use our Services from a mobile device, that device will send us data about your location based on your phone settings
0	0	We will ask you to opt-in before we use GPS or other tools
0	0	to identify your precise location.
0	0	If you communicate through our Services, we learn about that.
0	1	We collect information about you when you send, receive, or engage with messages in connection with our Services.
0	0	 For example, if you get a LinkedIn connection request, we track whether you have acted on it and will send you reminders
3	0	We also use automatic scanning technology on messages.
0	0	1.7 Workplace and School Provided Information
0	0	When your employer or school buys a premium Service for you to use, they give us data about you.
0	0	Others buying our Services for your use, such as your employer or your school, provide us with personal data about you and your eligibility to use the Services that they purchase for use by their workers, students or alumni
0	0	For example, we will get contact information for âCompany Pageâ?administrators and for authorizing users of our premium Services, such as our recruiting, sales or learning products.
0	0	1.8 Sites and Services of Others
0	1	We get data when you visit sites that include our plugins, ads or cookies or log-in to othersâ?services with your LinkedIn account.
0	1	We receive information about your visits and interaction with services provided by others when you log-in with LinkedIn or visit othersâ?services that include our plugins (such as âShare on LinkedInâ?or âApply with LinkedInâ?, ads, cookies or similar technologies.
3	0	We are improving our Services, which means we get new data and create new ways to use data.
0	0	Our Services are dynamic, and we often introduce new features, which may require the collection of new information
0	0	If we collect materially different personal data or materially change how we use your data, we will notify you and may also modify this Privacy Policy.
3	3	How We Use Your Data
3	3	We use your data to provide, support, personalize and develop our Services.
0	3	How we use your personal data will depend on which Services you use, how you use those Services and the choices you make in your settings
3	0	We use the data that we have about you to provide and personalize, including with the help of automated systems and inferences we make, our Services (including ads) so that they can be more relevant and useful to you and others.
0	0	Our Services help you connect with others, find and be found for work and business opportunities, stay informed, get training and be more productive.
0	3	We use your data to authorize access to our Services.
0	0	Our Services allow you to stay in touch and up to date with colleagues, partners, clients, and other professional contacts
0	0	To do so, you will âconnectâ?with the professionals who you choose, and who also wish to âconnectâ?with you
0	0	Subject to your settings, when you connect with other Members, you will be able to search each othersâ?connections in order to exchange professional opportunities.
0	3	We will use data about you (such as your profile, profiles you have viewed or data provided through address book uploads or partner integrations) to help others find your profile, suggest connections for you and others (e.g
0	3	Members who share your contacts or job experiences) and enable you to invite others to become a Member and connect with you
0	0	You can also opt-in to allow us to use your precise location or proximity to others for certain tasks (e.g
0	0	to suggest other nearby Members for you to connect with, calculate the commute to a new job, or notify your connections that you are at a professional event).
0	0	It is your choice whether to invite someone to our Services, send a connection request, or allow another Member to become your connection
0	0	When you invite someone to connect with you, your invitation will include your name, photo, network and contact information
0	0	We will send invitation reminders to the person you invited
0	0	You can choose whether or not to share your own list of connections with your connections.
0	0	Visitors have choices about how we use their data.
0	0	Our Services allow you to stay informed about news, events and ideas regarding professional topics you care about, and from professionals you respect
0	0	Our Services also allow you to improve your professional skills, or learn new ones
0	3	We use the data we have about you (e.g., data you provide, data we collect from your engagement with our Services and inferences we make from the data we have about you), to recommend relevant content and conversations on our Services, suggest skills you may have to add to your profile and skills that you might need to pursue your next opportunity.
0	0	 So, if you let us know that you are interested in a new skill (e.g., by watching a learning video), we will use this information to personalize content in your feed, suggest that you follow certain members on our site, or watch related learning content to help you towards that new skill
0	0	We use your content, activity and other data, including your name and picture, to provide notices to your network and others
0	0	For example, subject to your settings, we may notify others that you have updated your profile, posted a blog, took a social action
0	0	, made new connections or were mentioned in the news.
0	0	Our Services allow you to explore careers, evaluate educational opportunities, and seek out, and be found for, career opportunities
0	0	Your profile can be found by those looking to hire (for a job or a specific task) or be hired by you
0	3	We will use your data to recommend jobs or mentees, show you and others who work at a company, in an industry, function or location or have certain skills and connections.
0	0	 You can signal that you are interested in changing jobs and share information with job recruiters
3	0	We will use your data to recommend jobs to you and you to recruiters
0	0	We may use automated systems to profile and provide recommendations to help make our Services more relevant to our Members, Visitors and customers
0	0	Keeping your profile accurate and up-to-date may help you better connect to others and to opportunities through our Services.
0	0	Our Services allow you to collaborate with colleagues, search for potential clients, customers, partners and others to do business with
0	0	Our Services allow you to communicate with other Members and schedule and prepare meetings with them
0	0	If your settings allow, we scan messages to provide âbotsâ?or similar tools that facilitate tasks such as scheduling meetings, drafting responses, summarizing messages or recommending next steps
0	0	2.2 Premium Services
0	0	Our premium Services allow paying users to search for and contact Members through our Services, such as searching for and contacting job candidates, sales leads and co-workers, manage talent and promote content through social media.
0	0	We sell premium Services that provide our customers and subscribers customized-search functionality and tools (including messaging and activity alerts) as part of our talent, marketing and sales solutions
0	0	Customers can export limited information from your profile, such as name, headline, current company, current title, and general location (e.g., Dublin), in order to manage sales leads or talent, unless you opt-out
0	0	We do not provide contact information to customers as part of these premium Services without your consent
0	0	A premium Services customer can store information he/she has about you in our premium Services, such as a resume or contact information or sales history
0	0	The data provided about you by these customers is subject to the policies of those customers
0	0	Other enterprise Services and features that use your data include TeamLink and Elevate (social promotion of content).
0	0	We contact you and enable communications between Members
0	0	We offer settings to control what messages you receive and how often you receive some types of messages.
0	0	We will contact you through email, mobile phone, notices posted on our websites or apps, messages to your LinkedIn inbox, and other ways through our Services, including text messages and push notifications
0	0	We will send you messages about the availability of our Services, security, or other service-related issues
3	0	We also send messages about how to use the Services, network updates, reminders, job suggestions and promotional messages from us and our partners
0	0	You may change your communication preferences at any time
0	0	Please be aware that you cannot opt-out of receiving service messages from us, including security and legal notices.
0	0	We also enable communications between you and others through our Services, including for example invitations, InMail, groups and messages between connections.
0	0	We serve you tailored ads both on and off our Services
0	0	We offer you choices regarding personalized ads, but you cannot opt-out of seeing other ads.
0	0	We target (and measure the performance of) ads to Members, Visitors and others both on and off our Services directly or through a variety of partners
0	0	, using the following data, whether separately or combined:
0	0	Data from advertising technologies on and off our Services, like web beacons, pixels, ad tags, cookies, and device identifiers;
0	0	Member-provided information (e.g., profile, contact information, title and industry);
0	0	Data from your use of our Services (e.g., search history, feed, content you read, who you follow or is following you, connections, groups participation, page visits, videos you watch, clicking on an ad, etc.), including as described in Section 1.3;
0	0	Information from advertising partners and publishers [Learn More]; and
0	0	Information inferred from data described above (e.g., using job titles from a profile to infer industry, seniority, and compensation bracket; using graduation dates to infer age or using first names or pronoun usage to infer gender).
0	0	We will show you ads called sponsored content which look similar to non-sponsored content, except that they are labeled âadsâ?or âsponsored.â?If you take an action (such as like, comment or share) on these ads, your action is associated with your name and viewable by others, including the advertiser
0	0	Subject to your settings, if you take a social action on the LinkedIn Services, that action
0	0	may be mentioned with related ads.
0	0	We adhere to self-regulatory principles for interest-based advertising and participate in industry opt-outs from such ads
0	0	This does not opt you out of receiving advertising; you will continue to get other ads by advertisers not listed with these self regulatory tools
0	0	You can also opt-out specifically from our uses of certain categories of data to show you more relevant ads
0	0	For Visitors, the setting is here.
0	0	Info to Ad Providers
0	0	We do not share your personal data with any third-party advertisers or ad networks for their advertising except for: (i) hashed or device identifiers (to the extent they are personal data in some countries); (ii) with your separate permission (e.g., lead generation form) or (iii) data already visible to any users of the Services (e.g
0	0	However, if you view or click on an ad on or off our site or apps, the ad provider will get a signal that someone visited the page that displayed the ad, and they may through the use of mechanisms such as cookies determine it is you
0	0	Advertising partners can associate personal data collected by the advertiser directly from you with our cookies and similar technologies
0	0	In such instances, we seek to contractually require such advertising partners to obtain your explicit, opt-in consent before doing so.
0	0	We promote our Services to you and others.
0	3	We use data and content about Members for invitations and communications promoting membership and network growth, engagement and our Services.
0	0	2.6 Developing Services and Research
0	0	We develop our Services and conduct research.
3	3	We use data, including public feedback, to conduct research and development for the further development of our Services in order to provide you and others with a better, more intuitive and personalized experience, drive membership growth and engagement on our Services, and help connect professionals to each other and to economic opportunity.
0	0	We seek to create economic opportunity for Members of the global workforce and to help them be more productive and successful
0	3	We use the personal data available to us to research social, economic and workplace trends such as jobs availability and skills needed for these jobs and policies that help bridge the gap in various industries and geographic areas.
0	0	 In some cases, we work with trusted third parties to perform this research, under controls that are designed to protect your privacy
0	0	We publish or allow others to publish economic insights, presented as aggregated data rather than personal data.
0	0	Polls and surveys are conducted by us and others through our Services
0	0	You are not obligated to respond to polls or surveys, and you have choices about the information you provide
0	0	You may opt-out of survey invitations.
0	0	2.7 Customer Support
0	3	We use data to help you and fix problems.
3	3	We use the data (which can include your communications) to investigate, respond to and resolve complaints and Service issues (e.g., bugs).
0	0	2.8 Aggregate Insights
0	3	We use data to generate aggregate insights.
0	3	We use your data to produce and share aggregated insights that do not identify you
3	0	For example we may use your data
0	0	to generate statistics about our members, their profession or industry, to calculate ad impressions served or clicked on, or to publish visitor demographics for a Service or demographic workforce insights.
0	0	2.9 Security and Investigations
0	3	We use data for security, fraud prevention and investigations.
0	3	We use your data (including your communications) if we think itâs necessary for security purposes or to investigate possible fraud or other violations of our User Agreement or this Privacy Policy and/or attempts to harm our Members or Visitors.
0	0	How We Share Information
0	0	3.1 Our Services
0	0	Any data that you include on your profile and any content you post or social action (e.g
0	0	likes, follows, comments, shares) you take on our Services will be seen by others.
0	0	Your profile is fully visible to all Members and customers of our Services
0	0	Subject to your settings, it can also be visible to others on or off of our Services (e.g., Visitors to our Services or users of third- party search engines)
0	0	As detailed in our Help Center, your settings, degree of connection with the viewing Member, the subscriptions they may have, their usage of our Services, access channels and search types (e.g., by name or by keyword) impact the availability of your profile and whether they can view certain fields in your profile.
0	0	Posts, Likes, Follows, Comments, Messages
0	0	Our Services allow viewing and sharing information including through posts, likes, follows and comments.
0	0	When you share an article or a post (e.g., an update, image, video or article) publicly it can be viewed by everyone and re-shared anywhere (subject to your settings)
0	0	Members, Visitors and others will be able to find and see your publicly-shared content, including your name (and photo if you have provided one).
0	0	In a group, posts are visible to others in the group
0	0	Your membership in groups is public and part of your profile, but you can change visibility in your settings.
0	0	Any information you share through companiesâ?or other organizationsâ?pages on our Services will be viewable by it and others who visit those pages.
0	0	When you follow a person or organization, you are visible to others and that âpage ownerâ?as a follower.
0	0	We let senders know when you act on their message, subject to your settings where applicable.
0	0	Subject to your settings, we let a Member know when you view their profile.
0	0	When you like or re-share or comment on anotherâs content (including ads), others will be able to view these âsocial actionsâ?and associate it with you (e.g., your name, profile and photo if you provided it).
0	0	Your employer can see how you use Services they provided for your work (e.g
0	0	as a recruiter or sales agent) and related information
0	0	We will not show them your job searches or personal messages.
0	0	Your employer may offer you access to our enterprise Services such as Recruiter, Sales Navigator, LinkedIn Learning or our advertising Campaign Manager
0	0	Your employer can review and manage your use of such enterprise Services.
0	0	Depending on the enterprise Service, before you use such Service, we will ask for permission to share relevant data from your profile or use of our non-enterprise Services
0	0	For example, users of Sales Navigator will be asked to share their âsocial selling indexâ? a score calculated in part based on their personal account activity
0	0	We understand that certain activities such as job hunting and personal messages are sensitive, and so we do not share those with your employer unless you choose to share it with them through our Services (for example, by applying for a new position in the same company or mentioning your job hunting in a message to a co-worker through our Services).
0	0	3.2 Communication Archival
0	0	Regulated Members may need to store communications outside of our Service.
0	0	Some Members (or their employers) need, for legal or professional compliance, to archive their communications and social media activity, and will use services of others to provide these archival services
0	0	We enable archiving of messages by those Members outside of our Services
0	0	For example, a financial advisor needs to archive communications with her clients through our Services in order to maintain her professional financial advisor license.
0	0	3.3 Othersâ?Services
0	0	You may link your account with othersâ?services so that they can look up your contactsâ?profiles, post your shares on such platforms, or start conversations with your connections on such platforms
0	0	Excerpts from your profile will also appear on the services of others.
0	0	Subject to your settings, other services may look-up your profile
0	0	When you opt to link your account with other services, personal data will become available to them
0	0	The sharing and use of that personal data will be described in, or linked to, a consent screen when you opt to link the accounts
0	0	For example, you may link your Twitter or WeChat account to share content from our Services into these other services, or your email provider may give you the option to upload your LinkedIn contacts into its own service
0	0	You may revoke the link with such accounts.
0	0	Subject to your settings, excerpts from your profile will appear on the services of others (e.g., search engine results, mail and calendar applications that show a user a âminiâ?LinkedIn profile of the person they are meeting or messaging, social media aggregators
0	0	, talent and lead managers)
0	0	âOldâ?profile information remains on these services until they update their data cache with changes you made to your profile.
0	0	3.4 Related Services
0	0	We share your data across our different Services and LinkedIn-affiliated entities.
0	0	We will share your personal data with our affiliates to provide and develop our Services
0	0	We may combine information internally across the different Services covered by this Privacy Policy to help our Services be more relevant and useful to you and others
0	0	For example, SlideShare will recommend better content to you based on your LinkedIn profile or the articles you read on the LinkedIn Services, and we can personalize your feed or job recommendations based on your learning video history, because we are able to identify you across different Services using cookies or similar technologies.
0	0	3.5 Service Providers
3	0	We may use others to help us with our Services.
3	0	We use others to help us provide our Services (e.g., maintenance, analysis, audit, payments, fraud detection, marketing and development)
0	0	They will have access to your information as reasonably necessary to perform these tasks on our behalf and are obligated not to disclose or use it for other purposes.
0	0	3.6 Legal Disclosures
0	0	We may need to share your data when we believe itâs required by law or to help protect the rights and safety of you, us or others.
0	0	It is possible that we will need to disclose information about you when required by law, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent, or take action regarding suspected or actual illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you, (3) investigate and defend ourselves against any third-party claims or allegations, (4) protect the security or integrity of our Service (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of LinkedIn, our Members, personnel, or others
0	0	We attempt to notify Members about legal demands for their personal data when appropriate in our judgment, unless prohibited by law or court order or when the request is an emergency
0	0	We may dispute such demands when we believe, in our discretion, that the requests are overbroad, vague or lack proper authority, but we do not promise to challenge every demand
0	0	To learn more see our Data Request Guidelines and Transparency Report.
0	0	3.7 Change in Control or Sale
0	0	We may share your data when our business is sold to others, but it must continue to be used in accordance with this Privacy Policy.
0	0	We can also share your personal data as part of a sale, merger or change in control, or in preparation for any of these events
0	0	Any other entity which buys us or part of our business will have the right to continue to use your data, but only in the manner set out in this Privacy Policy unless you agree otherwise.
0	0	Your Choices & Obligations
0	0	4.1 Data Retention
2	2	We keep most of your personal data for as long as your account is open.
2	2	We retain your personal data while your account is in existence or as needed to provide you Services.
0	0	 This includes data you or others provided to us and data generated or inferred from your use of our Services
2	0	Even if you only use our Services when looking for a new job every few years, we will retain your information and keep your profile open until you decide to close your account.In some cases we choose to retain certain information (e.g., visits to sites carrying our âshare with LinkedInâ?or âapply with LinkedInâ?plugins without clicking on the plugin) in a depersonalized or aggregated form.
0	0	4.2 Rights to Access and Control Your Personal Data
6	6	You can access or delete your personal data
0	0	You have many choices about how your data is collected, used and shared.
0	0	We provide many choices about the collection, use and sharing of your data, from deleting or correcting data you include in your profile and controlling the visibility of your posts to advertising opt-outs and communication controls
0	0	We offer you settings to control and manage the personal data we have about you (for SlideShare, please contact us).
0	0	For personal data that we have about you:
6	8	Delete Data: You can ask us to erase or delete all or some of your personal data (e.g., if it is no longer necessary to provide Services to you).
6	6	Change or Correct Data: You can edit some of your personal data through your account.
6	0	 You can also ask us to change, update or fix your data in certain cases, particularly if itâs inaccurate.
7	8	Object to, or Limit or Restrict, Use of Data: You can ask us to stop using all or some of your personal data (e.g., if we have no legal right to keep using it) or to limit our use of it (e.g., if your personal data is inaccurate or unlawfully held).
9	9	Right to Access and/or Take Your Data: You can asus for a copy of your personal data and can ask for a copy of personal data you provided in machine readable form.
0	0	Visitors can learn more about how to make these requests here
0	4	You may also contact us using the contact information below, and we will consider your request in accordance with applicable laws.
0	0	Residents in the Designated Countries may have additional rights under their laws
0	0	4.3 Account Closure
0	0	We keep some of your data even after you close your account.
0	0	If you choose to close your Linkedin (or SlideShare) account, your personal data will generally stop being visible to others on our Services within 24 hours
0	0	We generally delete closed account information within 30 days of account closure, except as noted below.
0	0	We retain your personal data even after you have closed your account if reasonably necessary to comply with our legal obligations (including law enforcement requests), meet regulatory requirements, resolve disputes, maintain security, prevent fraud and abuse, enforce our User Agreement, or fulfill your request to âunsubscribeâ?from further messages from us
0	0	We will retain de-personalized information after your account has been closed.
0	0	Information you have shared with others (e.g., through InMail, updates or group posts) will remain visible after you closed your account or deleted the information from your own profile or mailbox, and we do not control data that other Members copied out of our Services
0	0	Groups content and ratings or review content associated with closed accounts will show an unknown user as the source
0	0	Your profile may continue to be displayed in the services of others (e.g., search engine results) until they refresh their cache.
0	0	Other Important Information
0	0	We monitor for and try to prevent security breaches
0	0	Please use the security features available through our Services.
0	0	We implement security safeguards designed to protect your data, such as HTTPS
0	0	We regularly monitor our systems for possible vulnerabilities and attacks
0	0	However, we cannot warrant the security of any information that you send us
0	0	There is no guarantee that data may not be accessed, disclosed, altered, or destroyed by breach of any of our physical, technical, or managerial safeguards
0	0	Please visit our Safety Center for additional information about safely using our Services, including two-factor authentication.
0	0	Cross-Border Data Transfers
0	0	We store and use your data outside your country.
0	0	We process data both inside and outside of the United States and rely on legally-provided mechanisms to lawfully transfer data across borders
0	0	Countries where we process data may have laws which are different, and potentially not as protective, as the laws of your own country.
0	0	5.3 Lawful Bases for Processing
0	0	We have lawful bases to collect, use and share data about you
0	0	You have choices about our use of your data.
0	0	At any time, you can withdraw consent you have provided by going to settings.
0	1	We will only collect and process personal data about you where we have lawful bases
0	0	Lawful bases include consent
0	0	(where you have given consent), contract (where processing is necessary for the performance of a contract with you (e.g
0	0	to deliver the LinkedIn Services you have requested)) and âlegitimate interestsâ?
0	6	Where we rely on your consent to process personal data, you have the right to withdraw or decline your consent at any time and where we rely on legitimate interests, you have the right to object
0	4	If you have any questions about the lawful bases upon which we collect and use your personal data, please contact our Data Protection Officer her
