	label	par	sentences
1	1	"Ubisoft collects your personal information when you register with us for our products, use the Ubisoft websites, videogames, mobile applications, online store or other services (""Services"") or otherwise contact us online. We use this personal information to: provide you the products or Services you have requested; create your user profile; to send you information about our products or Services and your registration; when you agree, to send you marketing information; and to respond to your correspondence."	"Ubisoft collects your personal information when you register with us for our products, use the Ubisoft websites, videogames, mobile applications, online store or other services (""Services"") or otherwise contact us online.|||We use this personal information to: provide you the products or Services you have requested; create your user profile; to send you information about our products or Services and your registration; when you agree, to send you marketing information; and to respond to your correspondence."
2	0	"Ubisoft Ltd, Ubisoft Entertainment SA, Ubisoft EMEA SAS, Ubisoft, Inc., Ubisoft Mobile Games, Red Storm Entertainment, Inc., Blue Byte GmbH are part of the same group of companies (together, ""Ubisoft"" or ""we""). We respect the privacy rights of our customers and are committed to protecting the personal information collected about you. We have adopted this Privacy Policy to explain how we collect, store, and use the information you provide us. By using the Ubisoft Services, you signify your assent to the terms of the Privacy Policy. If you do not agree to this Privacy Policy, please do not use the Services. We reserve the right to make changes in this Privacy Policy, so please check back from time to time to ensure you are aware of any changes. Your continued use of the Services will signify your acceptance of these changes."	"Ubisoft Ltd, Ubisoft Entertainment SA, Ubisoft EMEA SAS, Ubisoft, Inc., Ubisoft Mobile Games, Red Storm Entertainment, Inc., Blue Byte GmbH are part of the same group of companies (together, ""Ubisoft"" or ""we"").|||We respect the privacy rights of our customers and are committed to protecting the personal information collected about you.|||We have adopted this Privacy Policy to explain how we collect, store, and use the information you provide us.|||By using the Ubisoft Services, you signify your assent to the terms of the Privacy Policy.|||If you do not agree to this Privacy Policy, please do not use the Services.|||We reserve the right to make changes in this Privacy Policy, so please check back from time to time to ensure you are aware of any changes.|||Your continued use of the Services will signify your acceptance of these changes."
3	1	Ubisoft collects your personal information at different times when you interact with our Services, including when you buy our products, or otherwise contact us. Generally, personal information is collected when (a) you use a Service, (b) you create an Account, (c) you make a purchase within our Services, (d) you create user generated content, (e) you watch advertisements within our Services, (f) you sign up to a newsletter, (g) you contact Ubisoft customer service and during technical support sessions, (h) you enter into a contest or sweepstake, (i) you chat with other users of the Services, (j) you wish to participate in a beta or otherwise download a patch or a demo and (k) you share or otherwise contribute to our social media channels and other community websites.	Ubisoft collects your personal information at different times when you interact with our Services, including when you buy our products, or otherwise contact us.|||Generally, personal information is collected when (a) you use a Service, (b) you create an Account, (c) you make a purchase within our Services, (d) you create user generated content, (e) you watch advertisements within our Services, (f) you sign up to a newsletter, (g) you contact Ubisoft customer service and during technical support sessions, (h) you enter into a contest or sweepstake, (i) you chat with other users of the Services, (j) you wish to participate in a beta or otherwise download a patch or a demo and (k) you share or otherwise contribute to our social media channels and other community websites.
4	1	Whatever the activity may be, we will only collect personal information to the extent deemed reasonably necessary to fulfil your requests and our legitimate business objectives.	Whatever the activity may be, we will only collect personal information to the extent deemed reasonably necessary to fulfil your requests and our legitimate business objectives.
5	1	To access certain Services, you will need a Ubisoft Account. During the creation of your Account, we will ask your nickname, password, email address, date of birth (or age) and country of origin. This information is mandatory to create an Account. On other Services, Ubisoft may ask you additional personal information relevant to the Service such as your phone number, home address or geo-location information (for example, you will be asked your home address when purchasing a product within our online shop, in order for Ubisoft to deliver the product to your home address). Visitors purchasing goods or services through our online store will need to provide a valid credit card number and expiration date, in addition to the credit card holder's name, date of birth, mailing address, phone number and e-mail address. In addition, we may collect demographic information such as your age, gender, favourite styles of gaming and the device you own or plan to buy. Note that Ubisoft does not collect nor store any credit or debit card or other banking data.	To access certain Services, you will need a Ubisoft Account.|||During the creation of your Account, we will ask your nickname, password, email address, date of birth (or age) and country of origin.|||This information is mandatory to create an Account.|||On other Services, Ubisoft may ask you additional personal information relevant to the Service such as your phone number, home address or geo-location information (for example, you will be asked your home address when purchasing a product within our online shop, in order for Ubisoft to deliver the product to your home address).|||Visitors purchasing goods or services through our online store will need to provide a valid credit card number and expiration date, in addition to the credit card holder's name, date of birth, mailing address, phone number and e-mail address.|||In addition, we may collect demographic information such as your age, gender, favourite styles of gaming and the device you own or plan to buy.|||Note that Ubisoft does not collect nor store any credit or debit card or other banking data.
6	1	Ubisoft collects personal information via internet forms. For example, a new user to any of the Services may be asked to register by providing his or her name, date of birth or age, phone number, and home address. This information will then be associated with your Account, so that you may identify yourself during future visits to each of the Services. Ubisoft also stores and maintains personal information that you submit to us in an e-mail or that you post on our bulletin board.	Ubisoft collects personal information via internet forms.|||For example, a new user to any of the Services may be asked to register by providing his or her name, date of birth or age, phone number, and home address.|||This information will then be associated with your Account, so that you may identify yourself during future visits to each of the Services.|||Ubisoft also stores and maintains personal information that you submit to us in an e-mail or that you post on our bulletin board.
7	1	"Ubisoft may also collect personal information on third party network, platform or service: by playing a Ubisoft game through a social network or other third party platform, or by connecting to such a third party network, platform or service via one of our products and/or Services, you are authorizing Ubisoft to (1) collect, store, and use, in accordance with this Privacy Policy, any and all personal information that you agreed the social network or other third party platform could provide to Ubisoft based on your settings on the third party social network or platform and (2) share any and all of your personal information with the social network or other third party platform, through the social network/third party platform’s Application Programming Interface (API).  Your agreement to this takes place when you connect with the third party network, platform or service via our products and/or services, and/or when you connect with, ""accept"" or ""allow"" (or similar terms) one of our applications through a social network, or other third party platform or service."	"Ubisoft may also collect personal information on third party network, platform or service: by playing a Ubisoft game through a social network or other third party platform, or by connecting to such a third party network, platform or service via one of our products and/or Services, you are authorizing Ubisoft to (1) collect, store, and use, in accordance with this Privacy Policy, any and all personal information that you agreed the social network or other third party platform could provide to Ubisoft based on your settings on the third party social network or platform and (2) share any and all of your personal information with the social network or other third party platform, through the social network/third party platform’s Application Programming Interface (API).|||Your agreement to this takes place when you connect with the third party network, platform or service via our products and/or services, and/or when you connect with, ""accept"" or ""allow"" (or similar terms) one of our applications through a social network, or other third party platform or service."
8	4	If you do not submit personal information when asked by Ubisoft, your refusal may limit our ability to process your online product registration, Account creation, contest registration, purchase via our online store, or request for technical support.	If you do not submit personal information when asked by Ubisoft, your refusal may limit our ability to process your online product registration, Account creation, contest registration, purchase via our online store, or request for technical support.
9	3	This Privacy Policy applies only to the Services on which this Privacy Policy is made available by Ubisoft and not to websites, networks or platforms maintained by other companies or organizations to which we may provide links. Please note, however, that when you link to foreign sites or any other third party sites from our Services, this Privacy Policy no longer applies. Ubisoft does not control the activities on those third party services and cannot and does not guarantee the security of any personal information disclosed on those third party services.	This Privacy Policy applies only to the Services on which this Privacy Policy is made available by Ubisoft and not to websites, networks or platforms maintained by other companies or organizations to which we may provide links.|||Please note, however, that when you link to foreign sites or any other third party sites from our Services, this Privacy Policy no longer applies.|||Ubisoft does not control the activities on those third party services and cannot and does not guarantee the security of any personal information disclosed on those third party services.
10	3	"Ubisoft Services, including Uplay.com, may offer a public profile feature (""Public Profile"") that allows you to publish information, including personal information, to the public Internet. Other than as stated on the applicable Public Profile site, the information you upload or input to your Public Profile will default to the privacy level you choose at sign-in, and you can choose to change the privacy settings at any time. By default, certain aspects of the Public Profile are set to ""public"". Those aspects of the Public Profile that are designated as ""public"" will be visible by everyone, including people not registered within the Ubisoft environment, and may be indexed and displayed through public search engines when someone searches for you.  If you post your personal information to a Public Profile, including a video, image or photo, you should be aware that these may be viewed, collected, copied and/or used by other users without your consent.  We are not responsible for disclosure by other users of your Personal Information, including without limitation, videos, images or photos that you choose to submit on the Ubisoft Services. Also, please remember that the Personal Information you provide to us as part of your Public Profile may reveal or allow others to identify aspects of your life that you may not choose to state on your Public Profile directly  (for example, your picture may reveal your gender)."	"Ubisoft Services, including Uplay.com, may offer a public profile feature (""Public Profile"") that allows you to publish information, including personal information, to the public Internet.|||Other than as stated on the applicable Public Profile site, the information you upload or input to your Public Profile will default to the privacy level you choose at sign-in, and you can choose to change the privacy settings at any time.|||By default, certain aspects of the Public Profile are set to ""public"".|||Those aspects of the Public Profile that are designated as ""public"" will be visible by everyone, including people not registered within the Ubisoft environment, and may be indexed and displayed through public search engines when someone searches for you.|||If you post your personal information to a Public Profile, including a video, image or photo, you should be aware that these may be viewed, collected, copied and/or used by other users without your consent.|||We are not responsible for disclosure by other users of your Personal Information, including without limitation, videos, images or photos that you choose to submit on the Ubisoft Services.|||Also, please remember that the Personal Information you provide to us as part of your Public Profile may reveal or allow others to identify aspects of your life that you may not choose to state on your Public Profile directly  (for example, your picture may reveal your gender)."
