labelpredict	labelreal	review
0	0	Main content starts below.
4	0	To learn more about Privacy at LinkedIn please visit our Privacy Hub.
0	0	Our Privacy Policy has been updated
0	0	Click here to see a summary of changes.
0	0	See a guided tour of the main changes.
3	0	LinkedIn¡¯s mission is to connect the world¡¯s professionals to allow them to be more productive and successful
0	0	Central to this mission is our commitment to be transparent about the data we collect about you, how it is used and with whom it is shared.
0	0	This Privacy Policy applies when you use our Services (described below)
0	0	We offer our users choices about the data we collect, use and share as described in this Privacy Policy, Cookie Policy, Settings
0	0	Data We Collect
3	3	How We Use Your Data
0	0	How We Share Information
0	0	We are a social network and online platform for professionals
3	0	People use our Services to find and be found for business opportunities and to connect with others and information
0	0	Our registered users (¡°Members?? share their professional identities, engage with their network, exchange knowledge and professional insights, post and view relevant content, learn and find business and career opportunities
0	0	Content and data on some of our Services is viewable to non-members (¡°Visitors??.
0	0	We use the term ¡°Designated Countries??to refer to countries in the European Union (EU), European Economic Area (EEA), and Switzerland.
0	0	This Privacy Policy, including our Cookie Policy applies to your use of our Services.
0	0	This Privacy Policy applies to LinkedIn.com, LinkedIn-branded apps, Slideshare, LinkedIn Learning and other LinkedIn-related sites, apps, communications and services (¡°Services??, including off-site Services, such as our ad services and the ¡°Apply with LinkedIn??and ¡°Share with LinkedIn??plugins, but excluding services that state that they are offered under a different privacy policy.
0	0	If you reside in the ¡°Designated Countries?? LinkedIn Ireland Unlimited Company (¡°LinkedIn Ireland?? will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services; you are entering into the User Agreement with LinkedIn Ireland.
0	0	If you reside outside of the Designated Countries: LinkedIn Corporation will be the controller of your personal data provided to, or collected by or for, or processed in connection with, our Services; you are entering into the User Agreement with LinkedIn Corporation.
0	0	As a Visitor or Member of our Services, the collection, use and sharing of your personal data is subject to this Privacy Policy (which includes our Cookie Policy and other documents referenced in this Privacy Policy) and updates.
0	0	LinkedIn (¡°we??or ¡°us?? can modify this Privacy Policy, and if we make material changes to it, we will provide notice through our Services, or by other means, to provide you the opportunity to review the changes before they become effective
6	0	If you object to any changes, you may close your account.
0	0	You acknowledge that your continued use of our Services after we publish or send a notice about our changes to this Privacy Policy means that the collection, use and sharing of your personal data is subject to the updated Privacy Policy.
0	0	Data We Collect
0	0	1.1 Data You Provide To Us
0	0	You provide data to create an account with us.
0	0	To create an account you need to provide data including your name, email address and/or mobile number, and a password
0	0	If you register for a premium Service, you will need to provide payment (e.g., credit card) and billing information.
0	0	You create your LinkedIn profile (a complete profile helps you get the most from our Services).
0	0	You have choices about the information on your profile, such as your education, work experience, skills, photo, city or area and endorsements
0	0	Some Members may choose to complete a separate ProFinder profile
0	0	You don¡¯t have to provide additional information on your profile; however, profile information helps you to get more from our Services, including helping recruiters and business opportunities find you
0	0	It¡¯s your choice whether to include sensitive information
0	0	on your profile and to make that sensitive information public
0	0	Please do not post or add personal data to your profile that you would not want to be publicly available.
0	0	You give other data to us, such as by syncing your address book or calendar.
0	0	Posting and Uploading
1	1	We collect personal data from you when you provide, post or upload it to our Services, such as when you fill out a form, (e.g., with demographic data or salary), respond to a survey, or submit a resume
0	1	If you opt to import your address book, we receive your contacts (including contact information your service provider(s) or app automatically added to your address book when you communicated with addresses or numbers not already in your list).
0	1	If you sync your contacts or calendars with our Services, we will collect your address book and calendar meeting information to keep growing your network by suggesting connections for you and others, and by providing information about them, e.g
0	0	You don¡¯t have to post or upload personal data; though if you don¡¯t, it may limit your ability to grow and engage with your network over our Services.
0	0	Others may post or write about you.
0	0	You and others may post content that includes information about you (as part of articles, posts, comments, videos) on our Services
0	1	Unless you opt-out, we collect public information about you, such as professional-related news and accomplishments (e.g., patents granted, professional recognition, conference speakers, projects, etc.) and make it available as part of our Services (e.g
0	0	Others may sync their contacts or calendar with our Services.
1	0	We receive personal data (including contact information) about you when others import or sync their contacts or calendar with our Services, associate their contacts with Member profiles, or send messages using our Services (including invites or connection requests)
0	0	If you or others opt-in to sync email accounts with our Services, we will also collect ¡°email header??information that we can associate with Member profiles.
0	0	Customers and partners may provide data to us.
1	1	We receive personal data about you when you use the services of our customers and partners, such as employers, prospective employers and applicant tracking systems providing us job application data.
1	0	We receive data about you when you use some of the other services provided by us or our affiliates
1	0	, including Microsoft For example, you may choose to send information about your contacts in Microsoft apps and services, such as Outlook, to us for improved professional networking activities on our Services.
0	0	We log your visits and use of our Services, including mobile apps.
3	0	We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology (e.g., our off-site plugins), such as when you view or click on content (e.g., learning video) or ads (on or off our sites and apps), perform a search, install or update one of our mobile apps, share articles or apply for jobs
0	0	We use log-ins, cookies, device information and internet protocol (¡°IP?? addresses to identify you and log your use.
0	1	We collect data through cookies and similar technologies.
3	0	, we use cookies and similar technologies (e.g., web beacons, pixels, ad tags and device identifiers) to recognize you and/or your device(s) on, off and across different Services and devices
3	0	We also allow some others to use cookies as described in our Cookie Policy
0	0	You can control cookies through your browser settings and other tools
0	0	You can also opt-out from our use of cookies and similar technologies that track your behavior on the sites of others for third party advertising
0	0	For Visitors, the opt-out is here.
1	1	We receive data from your devices and networks, including location data.
0	0	When you visit or leave our Services (including our plugins or cookies or similar technology on the sites of others), we receive the URL of both the site you came from and the one you go to next
1	0	We also get information about your IP address, proxy server, operating system, web browser and add-ons, device identifier and features, and/or ISP or your mobile carrier
0	0	If you use our Services from a mobile device, that device will send us data about your location based on your phone settings
0	0	We will ask you to opt-in before we use GPS or other tools
3	0	to identify your precise location.
0	0	If you communicate through our Services, we learn about that.
