labelpredict	labelreal	review
0	0	(also referred to as affiliates ( ¡°LiveMe,??¡°Company,??¡°we,??¡°us,??or ¡°our?? is committed to safeguarding the personal information it collects when you use our website at http://www.liveme.com/ (the ¡°Site??, mobile applications that hyperlink to this Policy (the ¡°Apps?? and together, the ¡°Services??
0	0	This Privacy Policy describes our personal data handling practices in relation to the Services
4	4	If you have any questions about this Policy, please contact us at support@liveme.com, with a copy to: legal@liveme.com.
0	0	If there is any inconsistency or ambiguity between the English version and any other language version, the English version shall prevail.
0	0	Please read the Terms of Service located at https://www.liveme.com/protocol/terms.html before using our Services
0	0	By accepting the Terms of Services, you warrant and represent that you have read, understood and agreed to our privacy practices described in this Policy and our Terms of Service
0	0	Where we require your consent to process your personal information, we will ask for your consent to the collection, use, and disclosure of your personal information as described further below
0	0	If you disagree with anything in this Policy, you should immediately discontinue access or use of our Services.
0	0	We may periodically make changes to this Policy as we update or expand our Services
0	0	We will notify you of any material changes to this Privacy Policy by notifying you via the email we have on file for you, or by means of a notice on our Services in advance of the effective date of the changes
0	0	If you do not agree to the changes, you should discontinue your use of the Services prior to the time the modified Policy takes effect
0	0	If you continue using the Services after the modified Policy takes effect, you will be bound by the modified Policy.
0	0	Furthermore, we may provide you with ¡°just-in-time??disclosures or additional information about the data collection, use and sharing practices of specific Services
0	0	These notices may provide more information about our privacy practices, or provide you with additional choices about how we process your personal information.
0	0	In this Policy, the term ¡°personal information??includes any information that identifies or makes an individual identifiable
3	3	Our primary purpose in collecting your personal information is to optimize and enhance your LiveMe experience
0	0	Please do not share special categories of personal information when using our Services
0	0	Examples of ¡°special categories of personal information??include information related to racial or ethnic origin, political opinions, religious or physiological beliefs, health, biometrics or genetic characteristics, criminal background or trade union membership or data concerning data subject¡¯s sex life or sexual orientation.
0	1	When you access or use our Services, we may generally collect the personal information described below.
0	0	Information you provide us directly:
0	0	Registration Information and Profiles.LiveMe will allow the end user to use your mobile number or a third party platform account to register in the Product and create an account.
1	1	When you create an account, we may collect the personal information you provide to LiveMe, such as your name, gender, date of birth, username, password, email address, picture, or phone number and so on
1	0	We also collect the information from the third party account which can be used to identify you.
1	0	We collect the content, communications and other information you provide when you use our Services, including when you create, post or share your photo, voice, videos, messages or communications for the public to view in our Services
0	0	Your posted content is still under your control after you post, and you can choose whether you want to continue to post, display or delete such materials.
0	0	When you contact us with questions, concerns or for purposes of customer/technical support, we collect the information contained in your message, which may include your name, contact details and any other personal information you provide
1	1	We may collect some personal information, such as your email address, and names and other information provided by you, when you communicate your opinions about our application and services via our feedback channel,
1	1	We will collect geolocation data if you choose to share it with us so that we can more accurately filter results on our Services
0	0	We may be able to approximate your geolocation based on other information you provide, such as your profile.
1	0	Information we automatically collect about you:
3	0	These tools collect information sent by your device or our Services, including the web pages you visit, add-ons, and other information that assists us in improving the Service
0	0	We anonymize or aggregate such information so that it cannot reasonably be used to identify any individual User.
1	1	When you use a mobile device (e.g., a tablet or smartphone) to access our Services, we may access, collect, monitor, store on your device, and/or remotely store one or more 'device identifiers.' Device identifiers are small data files or similar data structures stored on or associated with your mobile device, which uniquely identify your mobile device
0	0	A device identifier may be data stored in connection with the device hardware, data stored in connection with the device's operating system or other software, or data sent to the device by LiveMe
0	0	A device identifier may deliver information to us or to a third party partner about how you browse and use the Service and may help us or others provide reports or personalized content and ads
0	0	Some features of the Service may not function properly if use or availability of device identifiers is impaired or disabled.
0	0	Cookies and Similar Technologies.We may use cookies and similar technologies like pixels, web beacons, and local storage to collect information about how you use our Product and its features
0	0	Also, we may ask advertisers or other partners to serve ads or services to your devices, which may use cookies or similar technologies placed by us or the third party
7	0	You may be able to limit the amount of information collected from your device (e.g., computer, phone, or tablet) with us by adjusting your device or browser settings
0	0	However, by preventing us from collecting information from you, we may not be able to provide some functions on our Services
0	0	For more information about our cookies and similar tracking technologies, and how to manage them, please read our Cookies Policy.
0	0	Log File Information.Log file information is automatically reported by your browser each time you make a request to access (i.e., visit) a web page or app
0	0	It can also be provided when the content of the web page or app is downloaded to your browser or device
1	1	When you use our Service, our servers automatically record certain log file information, including your web request, Internet Protocol ('IP') address, browser type, referring / exit pages and URLs, number of clicks and how you interact with links on the Services, domain names, landing pages, pages viewed, and other such information
0	0	In addition, in Settings, other user log information including all your activities in our Product, such as gifting, commenting, logging in, recharging details and chatting within 3-4 days, will be uploaded to us to help fix bugs, etc
3	0	The information allows for more accurate reporting and improvement of the Services.
0	0	Automatic log updates.Automated data collection does not lead to profiling that significantly affects LiveMe users, but simply gives LiveMe a clear picture of its users and influencers.
3	0	Information we obtain about you from third party sources:
0	0	Information You Share on Third Party Websites or through Social Media Services.We collect publicly available information, such as your public social media profiles or other content available on the Internet
0	0	Collecting such information helps us better understand your interest and preferences so that we can improve the accuracy of our information about you, better understand your needs, and to optimize our Services.
0	0	Third-Party Services.Upon your request, we may collect or share information about you or others from third-party products or services integrated into our Services.
1	0	Things Others Do and Information They Provide About You
1	0	We also receive and analyze content, communications and information that other people provide when they use our Service
0	0	This can include information about you, such as when others share or comment on a photo or a video of you, send a message to you, or upload, sync or import your contact information.
3	3	How We Use Your Information
3	3	We use the personal information we gather through the Services for the purposes described below
3	0	We require certain information to provide you with the Services you requested
