labelpredict	labelreal	review
0	0	Learn a language
0	0	Last updated: 12.03.2019
0	0	Welcome to our privacy policy! It is detailed??but we¡¯d recommend you read it in full so you know exactly what we do with data here at Tandem
0	0	If you¡¯re pressed for time, here are the key points:
0	0	We don¡¯t monitor, record or store the contents of your audio or video chat
0	0	We do store messages, message information like timestamps and your Topics, but these will not be shared with any third parties unless required by law.
6	0	You can download, edit or permanently delete your personal data at any time
0	0	Your personal data is accessed through the ¡°My Profile??tab.
0	0	We keep your data on secured and restricted database servers
0	0	We do everything we can to keep your data secure and encrypted between your device and our servers
0	0	Tandem is a global community and we may store data on servers outside your home country
0	0	Please note that encryption is not supported in China.
0	0	We reserve the right to restrict access to Tandem in the event of misconduct
0	0	Providing a safe and friendly community for language learners is our top priority
0	0	We therefore take reports of abuse very seriously
0	0	Reports of misconduct on Tandem are reviewed by human moderators and can lead to a ban from our app
0	0	Please note that you can choose to share messages with our moderators only as part of the reporting process.
0	0	This statement details how we handle personal data here at Tandem
0	0	We are respectful of the data that is shared with us by our members and take protecting it very seriously.
0	0	Tandem is made in Germany and as a company based in the European Union we are firmly committed to meeting and often exceeding European data protection standards for all our members wherever possible.
0	0	Please take the time to read these details to fully understand how we handle your data and keep it safe.
4	4	You can reach out to us directly via support@tandem.net.
4	4	You can contact our data protection officer, ePrivacy GmbH, represented by Prof
1	1	This includes information and details such as your name, age, gender, mobile device identifiers, telephone number and also your email address.
0	0	Your data is handled according to the following legal provisions:
0	0	With regard to data communicated in forms, etc
0	0	With regard to services you use for the performance of a contract, Art
0	0	Otherwise, with particular regard to statistical data and online identifiers based on legitimate interests, Art 6(1)(f) GDPR (see below).
0	0	When handling your data, we pursue the following legitimate interests:
0	0	Improving our service;
0	0	Protecting against misuse;
0	0	Unless otherwise specified, we obtain the data from you (including via devices used by you).
0	0	Tandem is a worldwide service
0	0	Data is transferred to third countries outside your home country and outside the European Union
0	0	This is done on the basis of contractual regulations stipulated by law that ensure appropriate protection of your data and that are available for you to view on request.
0	0	We retain your data:
0	0	If you have consented to this as part of processing, until such time as you withdraw your consent (e.g
6	0	by deleting your account);
0	2	If we need the data to fulfil an agreement, until such time as the contractual relationship with you ceases or legal retention periods expire
0	0	If we use the data on the basis of a legitimate interest, until such time as your overriding interest obliges us to delete or anonymize them.
0	1	Personal data will only be collected by us to the extent and for the purpose for which you provide the data to us, e.g
0	1	for registering an account.
3	3	We use and store your personal data as part of our services for the following purposes and only if you have provided us with your express consent:
0	0	To create a public user profile for you on Tandem;
0	3	To provide a curated community just for language learners, where access is restricted to members only
0	3	We take best efforts to prevent abuse and ban offenders, as soon as we are made aware;
0	3	To send information relevant to the service, e.g
0	3	via email or push notification (e.g
0	3	updates on your membership status, missed calls/messages, new followers);
0	3	To target ads in the app (this can be turned off in settings);
0	0	To find Tandem partners nearby;
0	3	o understand how Tandem is used and optimize the service
3	0	We use your personal information only within the company and forward it only to those companies that are involved in performing the contracts concluded with you or otherwise involved in providing the relevant service.
0	0	Otherwise, your personal information will not be forwarded to third parties unless you have given your express consent for this or unless we are obliged to disclose it ??for example, at the direction of a court or administrative authority.
0	0	We forward the following customer data to third parties:
3	0	To analyze how Tandem is used by our members and optimize the service and design, anonymous usage and personal data is shared with Google Analytics, Firebase Analytics, New Relic, Facebook Analytics and Rubylight Limited.
0	0	To communicate information relevant to the service via email or push notification, names, device IDs, email addresses and other personal information may be shared with OneSignal (https://onesignal.com) and Sparkpost (https://sparkpost.com)
0	0	You can control what type of messages you receive in the profile settings, switch off push notifications for Tandem completely in your device settings and unsubscribe from email notifications in each individual email.
0	0	To make ads more personal, we may share personal but anonymized information, such as age and gender as well as device identifiers with MoPub, InMobi, MyTarget, Admob by Google, Facebook Audience Network, Ad Xchange and Fyber
0	0	iOS and Android devices have a resettable advertising identifier that companies can use to target ads based on the apps you use.
0	0	Both iOS and Android devices allow you to opt out of the use of mobile advertising identifiers for purposes of showing you targeted ads
0	0	For iOS, go to your iOS device settings and turn on the ¡°limit ad tracking??setting
0	3	We create Tandem member profiles based on your login data and also use these profiles and the information they contain, provided by you, for the following purposes:
0	0	We create a public member profile for you on Tandem so that members can find the most relevant language exchange partners to communicate with
0	0	While some elements of your profile, including your first name, age, profile picture, language settings, profile answers, current city, time zone and Topics are public, only verified community members can contact you via the Tandem app
0	0	We never show your email address, exact location, last name or any information you have chosen not to share in your profile settings to other members.
0	2	We store applications for membership in the community, including your personal data for a minimum of seven days
6	0	After that period, you can permanently delete all personal data from Tandem using the ¡°Delete My Application??button in the app.
0	0	In order to keep Tandem a safe place for language learners, we take violations of our community rules very seriously
2	0	Therefore, we retain anonymous personal identities of banned users for 18 months and might prevent access to the community on this basis during this period.
0	0	To control target group-related advertising, we record information about activities on our apps and websites (e.g
0	0	advertising banners clicked, screens viewed, and pages visited, etc.) This is recorded under a pseudonym and we may use this to provide our customers??users with advertising targeted to their interests.
0	0	For this purpose, a cookie may be stored on your device
0	0	Cookies are small text files that are stored on your computer¡¯s hard drive
0	0	They enable recognition of your computer but do not permit you to be personally identified.
0	0	If you do not want cookies to be installed, you can opt out using your browser settings
0	0	On mobile devices you can opt out of sharing advertising identifiers.
0	0	If you do not want personal information to be shared with ad networks, you can opt out in the My Profile section of the Tandem app.
6	6	You can edit, hide and delete personal data in the My Profile settings within the Tandem app
6	0	Also, you can request the deletion of your account or ask for certain profile information to be changed via Tandem¡¯s customer support (support@tandem.net).
0	0	We have taken extensive technical and organizational measures to secure your data against potential risks, such as unauthorized login or access, unauthorized perusal, amendment or distribution, and against loss, deletion or misuse.
0	0	In order to protect your personal data against unauthorized access by third parties when being transmitted, we secure data transmissions, if necessary, using SSL and TLS encryption
0	0	This is a standard encryption procedure for online and mobile services, particularly for the Internet
0	0	Encryption is not supported in China.
0	0	Regarding video and audio chats: we will not monitor, record or broadcast video and audio chat sessions at any time
0	0	However, we cannot prevent your chat partners from broadcasting live or recorded chat sessions without your or our permission through third party websites or services
0	0	We recommend that you exercise caution in disclosing any information, personal or otherwise, during a video or chat session.
0	0	Children under 14 are not allowed to use Tandem
0	0	If you are based in the European Economic Area (EEA), you may only use Tandem if you are over the age at which you can provide consent to data processing under the laws of your country or if verifiable parental consent for your use of Tandem has been provided to us
0	0	If you are a parent and you learn that your child is using Tandem and you don¡¯t want them to, please contact support@tandem.net.
0	0	Cookies are small files that your browser stores on your device in a directory designated specifically for this purpose
0	0	These cookies can be used for example to find out whether you have already visited a website
0	0	Most browsers accept cookies automatically
0	0	Nevertheless, you can change the settings in your browser, so that no cookies are stored or so that your explicit agreement is required before any cookies are stored
6	0	You can also delete previously set cookies at any time
0	0	Please note that disabling cookies may result in your use of our website being restricted.
0	0	We need cookies to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the site; (b) provide custom, personalized content and information; (c) to provide and monitor the effectiveness of our Service; (d) to monitor and aggregate metrics such as total number of visitors, traffic, and demographic patterns; (e) to diagnose or fix technology problems; (f) to help you efficiently access your information after you sign in; (g) to provide advertising, which may be tailored to your interests, and (h) to keep the Tandem community safe for members.
0	0	By registering or authenticating, users allow Tandem to identify them securely and give them access to its services
0	0	Depending on what is described below, third parties may provide registration and authentication services
0	0	In this case, Tandem will be able to access some data stored by these third-party services for registration or identification purposes, with the user¡¯s explicit consent:
0	0	Facebook Authentication (Facebook, Inc.): Facebook Authentication is a registration and authentication service provided by Facebook, Inc
0	0	and is connected to the Facebook social network
0	0	The personal data collected is various types of data as specified in the privacy policy of the service
0	0	Firebase Authentication (Google Inc.): Firebase Authentication is a registration and authentication service provided by Google Inc
0	0	To simplify the registration and authentication process, Firebase Authentication can make use of third-party identity providers and save the information on its platform
1	0	Personal Data collected: phone number
0	0	Google OAuth (Google Inc.): Google OAuth is a registration and authentication service provided by Google Inc
0	0	and is connected to the Google network
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Weibo (Sina.com): Weibo is a registration and authentication service provided by Sina.com and is connected to the Sina Weibo social network and SDK
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	WeChat (Tencent Inc.): WeChat Auth is a registration and authentication service provided by Tencent Inc
0	0	and is connected to the WeChat network and SDK
0	0	Personal Data collected: various types of Data as specified in the privacy policy of the service
0	0	Hosting and Backend Infrastructure
0	0	This type of service has the purpose of hosting data and files that enable Tandem to run and be distributed, as well as providing a ready-made infrastructure to run specific features or parts of Tandem
0	0	Some of these services work through geographically distributed servers, making it difficult to determine the actual location where personal data is stored.
0	0	Amazon Web Services (AWS) (Amazon Web Services, Inc.): Amazon Web Services is a hosting and backend service provided by Amazon.com Inc
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Google Cloud Platform (Google Inc.): Google Cloud Platform is a hosting and backend service provided by Google Inc
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Payment processing services enable Tandem to process payments, e.g
0	0	To ensure greater security, Tandem does not process or store credit card details, and uses only the information necessary to execute the transaction with the financial intermediaries handling the transaction.
0	0	Some of these services may also enable the sending of timed messages to you, such as emails containing invoices or notifications concerning the payment.
0	0	Android Pay (Google Inc.): Android Pay is a payment service provided by Google Inc., which allows users to make payments using their mobile phones
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Apple Pay (Apple Inc.): Apple Pay is a payment service provided by Apple Inc., which allows users to make payments using their mobile phones
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Stripe (Stripe Inc): Stripe is a payment service provided by Stripe Inc
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	This type of service allows Tandem to monitor the use and behavior of its service components, so its features, performance, operation, maintenance and troubleshooting can be improved
0	0	Which Personal Data are processed depends on the characteristics and mode of implementation of these services, whose function is to filter the activities of Tandem.
0	0	Crashlytics (Google Inc.): Crashlytics is a monitoring service provided by Google Inc
3	0	to enable Tandem to improve the stability of the app and reduce app crashes
1	0	Personal Data collected: geographic position, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and various types of data as specified in the privacy policy of the service
0	0	Firebase Crash Reporting (Google Inc.): Firebase Crash Reporting is a monitoring service provided by Google, Inc
3	0	to improve the stability of the app and reduce app crashes
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
0	0	Firebase Performance Monitoring (Google Inc.): Firebase Performance Monitoring is a monitoring service provided by Google, Inc
0	0	Personal Data collected: various types of data as specified in the privacy policy of the service
