labelpredict	labelreal	review
0	0	Last Updated: 05/2018
0	0	You acknowledge that you have read and understood this privacy policy
0	0	If you do not agree with this privacy policy, you must not use Tap4Fun Services
0	0	If you change your mind in the future, you may withdraw your consent to use of your personal information in accordance with this policy.
0	0	At Tap4Fun, we know your privacy is very important to you, so please take the time to carefully read our privacy policy
0	0	Our policy is designed to help you understand ??
0	0	1.What information do we collect about you;
3	0	2.How will we use the information about you;
0	0	3.Who do we share your information with;
0	0	4.How long do we keep hold of your information;
0	0	5.How can I exercise my rights over my information;
0	0	7.How will we notify you of changes;
0	0	This privacy policy applies to all Tap4Fun services that directly reference or link to this policy, but does not apply to Tap4Fun services that have separate privacy policies that do not incorporate this policy.
0	0	SECTION 1??WHERE WE ARE A DATA CONTROLLER
0	0	1.The Types of Personal Information We Use
0	0	This section describes the different types of personal information we collect and how we collect it
3	0	We will collect and use the following information about you:
0	0	Information you provide us.
1	0	when you register for the Game (including your nominated nickname,or custom accounts and information we import from your connected social media account (WeChat, Facebook) in order to set up your profile, including your name as it appears on your social media profile and your profile picture);
0	0	when you log-in as a ¡®guest??in order to use the Game (your nickname);
0	0	en you participate in a survey in the Game (in which case we will process the information you provide to us as part of the survey).
3	0	information you provide when seeking help from us such as your name, telephone number and records of the issues you experience;
1	1	Billing information, such as your name, payment card number and payment account details;
0	0	Information we collect about you.
1	1	We automatically collect certain data from you when you use the Game, including your IP address and device information (such as application version, network type, OS) and information regarding your use of the Game, such as date and time stamps of actions
1	1	We also collect and store your data each time you interact with us, for example, when you use in-app support to communicate with us.
3	0	Information you generate and display in the course of using the Game Services.
1	0	You may provide additional information as part of your profile (such as gender)
1	0	You may also provide or generate information when you communicate with other users in the Game (e.g., chat log data, chat content).
0	0	Data we collect from our partners.
0	0	Data we receive if you link a third party tool with the Service (such as WeChat, Facebook)
1	0	Demographic data (such as to determine the coarse location of your IP address)
0	0	Data to fight fraud (such as refund abuse in games or click fraud in advertising)
0	0	Data from platforms that the games run on (such as to verify payment)
0	0	Data for advertising and analytics purposes, so we can provide you a better Service
0	0	We use cookies and other similar technologies (e.g
0	0	web beacons, log files, scripts and eTags) (¡°Cookies?? to enhance your experience using the Services
0	0	Cookies are small files which, when placed on your device, enable us to provide certain features and functionality
0	0	You have the option to permit installation of such Cookies or subsequently disable them
0	0	You may accept all cookies, or instruct the device (in the case of the Game) to provide notice at the time of installation of cookies, or refuse to accept all cookies by adjusting the relevant cookie retention function in your device
3	0	However, in the event of your refusal to install cookies, the Game may be unable to operate as designed.
3	3	2.How we use your personal information
3	3	We will use the information in the following ways
3	0	Nickname£¬Use£ºWe use this information to create your account for the Game in accordance with your request.
