labelpredict	labelreal	review
0	0	Photosensitive Seizure Warning
0	0	last modified on 04/16/2019
0	0	Requests for Information and How to Serve a Subpoena
0	0	PLEASE READ THESE TERMS OF SERVICE CAREFULLY
0	0	THIS IS A BINDING CONTRACT
0	0	Welcome to the services operated by Twitch Interactive, Inc
0	0	(with its affiliates, ¡°Twitch?? consisting of the website available at http://www.twitch.tv, and its network of websites, software applications, or any other products or services offered by Twitch (the ??Twitch Services ??
0	0	Other services offered by Twitch may be subject to separate terms.
0	0	When using the Twitch Services, you will be subject to Twitch¡¯s Privacy Policy, Twitch¡¯s Community Guidelines, and you be subject to additional guidelines or rules that are posted on the Twitch Services or made available to you, or applicable to specific services and features that are disclosed to you in connection with such services
0	0	Twitch may also offer certain paid services, which are subject to the Twitch Terms of Sale as well as any additional terms or conditions that are disclosed to you in connection with such services
0	0	All such terms and guidelines (the Guidelines) are incorporated into these Terms of Service by reference.
0	0	The Terms of Service apply whether you are a user that registers an account with the Twitch Services or an unregistered user
0	0	You agree that by clicking ¡°Sign Up??or otherwise registering, downloading, accessing or using the Twitch Services, you are entering into a legally binding agreement between you and Twitch regarding your use of the Twitch Services
0	0	You acknowledge that you have read, understood, and agree to be bound by these Terms of Service
0	0	If you do not agree to these Terms of Service, do not access or otherwise use any of the Twitch Services.
0	0	When using or opening an account with Twitch on behalf of a company, entity, or organization (collectively, ¡°Subscribing Organization??, you represent and warrant that you: (i) are an authorized representative of that Subscribing Organization with the authority to bind that organization to these Terms of Service and grant the licenses set forth herein; and (ii) agree to these Terms of Service on behalf of such Subscribing Organization.
0	0	The Twitch Services are not available to persons under the age of 13
0	0	If you are between the ages of 13 and 18 (or between 13 and the age of legal majority in your jurisdiction of residence), you may only use the Twitch Services under the supervision of a parent or legal guardian who agrees to be bound by these Terms of Service.
0	0	The Twitch Services are also not available to any users previously removed from the Twitch Services by Twitch
0	0	Finally, the Twitch Services are not available to any persons barred from receiving them under the laws of the United States (such as its export and re-export restrictions and regulations) or applicable laws in any other jurisdiction.
