labelpredict	labelreal	review
0	0	The Privacy Policy(Policy)was written in English (US) and will be the agreement between You and Waka World Limited (Waka, We) while you are using Waka's applications (APP)
0	0	To the extent any translated version of this Policy conflicts against the English version, this English version prevails.
0	0	You should read this privacy policy because it will tell you exactly how your personal data is being looked after by Waka and it is very important for you to know
0	0	Here are the topics that we cover:
1	0	What information we collect and how we collect it.
3	3	How we use the information and who we share it with.
0	0	How you can access and update such information.
0	0	How we protect the information we store about you.
0	0	We know that other people¡¯s use of your personal data is a big concern for social network users, so we at Waka have developed the Policy to let you know how we use personal information ('personal data' or 'personal information')
0	0	We suggest you read it in conjunction with our Terms and Conditions of Use (the ¡°Terms??
0	0	When you access or use Waka, you agree to our Privacy Policy and you consent to our collection, storage, use and disclosure of your personal information as we¡¯ve set out in this Policy.
0	0	Waka reserves the right to change this Policy at any time and without notice, so be sure to check this Policy regularly to understand how we use your information.
0	0	By installing, using, registering to or otherwise accessing the services, you agree to this privacy policy and give an explicit and informed consent to the processing of your personal data in accordance with this privacy policy
0	0	IF YOU DO NOT ACCEPT AND AGREE WITH OUR PRIVACY POLICY THEN YOU MUST NOT ACCESS OR USE THE APP.
0	0	To join Waka you will provide us with information about you to make friends easier£¬such as your nickname, your picture, your gender, your date of birth
6	0	Because you control your user profile, these details are available to you at any time by accessing your ¡°Profile??page, which gives you the chance to correct or update your information at any time by just logging in to Waka.
0	0	What information does Waka collect
0	1	Once you have created a Profile, we will automatically track certain information such as your IP, device locale, timezone.
1	1	And we also collect infomation about WiFi access points as well as other location information about your longitude and latitude.
3	0	 We may from time to time allow our employees to use the product for testing and user engagement purposes.
0	0	For safety and security and to ensure you have the best possible user experience, we require users to verify their accounts (because we want to make sure you are not a robot!) and might ask for your phone number or Facebook Account
0	0	Don¡¯t worry! This is only to make sure you are real and breathing! We won't publicize your phone number without your consent.
1	1	When you use our Service, our servers automatically record certain log file information, including your web request, Internet Protocol (IP) address, browser type, referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed, and other such information
3	0	The information allows for more accurate reporting and improvement of the Service.
3	3	How we use your information
0	3	In addition to some of the specific uses of information we describe in this Privacy Policy, we may use information that we receive to:
3	3	 help you efficiently access your information after you sign in
0	3	remember information so you will not have to re-enter it during your visit or the next time you visit the Service
3	3	provide personalized content and information to you and others, which could include online ads or other forms of marketing
3	3	provide, improve, test, and monitor the effectiveness of our Service
