labelpredict	labelreal	review
0	0	You and the company or business that you are authorized to represent (¡°you,??¡°your,??or ¡°Company?? agree to these WhatsApp Business Terms of Service and all other applicable terms, policies, and documentation (collectively, ¡°Business Terms?? by downloading or using WhatsApp¡¯s apps, software, features, services, and APIs designed and developed for businesses (¡°Business Services??.
0	0	is the contracting entity providing you our Business Services, unless you are in a country in the European Economic Area and any other included country or territory (¡°European Region??, in which case WhatsApp Ireland Limited is the contracting entity providing you our Business Services (collectively, ¡°WhatsApp,??¡°our,??¡°we,??or ¡°us??
0	0	We provide our Business Services solely for your business or commercial use.
0	0	Our Business Services do not provide access to emergency services or emergency services providers, including the police, fire departments, or hospitals, or otherwise connect to public safety answering points
0	0	Company should ensure that it can contact its relevant emergency services providers through a mobile phone, fixed-line telephone, or other service.
0	0	WhatsApp Business Policy, which is applicable only to your use of our WhatsApp Business App for small-to-medium sized businesses
0	0	To the extent that any of the additional terms and policies conflict with these Business Terms, the additional terms and policies will govern.
2	0	You represent and warrant that you: (a) will use our Business Services solely for business, commercial, and authorized purposes, and not for personal use; (b) will only provide registration information associated with your Company; (c) are authorized to enter into these Business Terms and are at least 18 years old (or the age of majority in your country of residence); and (d) have not been previously suspended or removed from our Business Services, or engaged in any activity that could result in suspension or removal.
0	0	Company must create a WhatsApp business account by providing accurate, current, and complete information, including its valid legal business phone number, Company name, and other information we require
0	0	Company will keep its business account information updated
0	0	Company¡¯s name must not: (a) be false, misleading, deceptive, or defamatory; (b) parody a third party or include character symbols, excessive punctuation, or trademark designations; or (c) infringe any trademark, violate any right of publicity, or otherwise violate anyone¡¯s rights
0	0	We reserve the right to reclaim account names on behalf of any business or individual that holds legal claim in those names.
0	0	As part of your relationship with us, you permit WhatsApp to use your information to send you electronic communications (such as messages, emails, and phone calls via WhatsApp or otherwise) from us or our third-party providers, including: (a) notices about your account, password changes, payment authorizations, and other transactional information; and (b) information about products, services, surveys, events, news, and promotions offered by WhatsApp or the Facebook Companies where permitted by applicable law
0	0	If you do not wish for WhatsApp to communicate with you in regard to (b) above, you may opt-out of future communications by contacting WhatsApp at the contact specified at the end of these terms, or by clicking the ¡°unsubscribe??link in any such communication.
0	0	You must provide certain devices, software, and data connections, which we do not otherwise supply, to use our Business Services
0	0	You consent to manually or automatically download and install updates to our Business Services.
0	0	You are responsible for all carrier data plans, Internet fees, and other fees and taxes associated with your use of our Business Services.
0	0	Linking to Facebook
3	0	To use all or certain features of our Business Services, we may require Company to link its WhatsApp business account with the Facebook account used for its business
0	0	Facebook¡¯s terms and policies apply to the extent that you use Facebook¡¯s services.
0	0	Our Business Services may allow Company to access, use, or interact with websites, apps, content, and other products and services that are not provided by WhatsApp
0	0	For example, Company may choose to use third-party data backup services (such as iCloud or Google Drive) that may be used with some of our Business Services
0	0	Please note that when Company uses these other services, their own terms and privacy policies will govern Company¡¯s use of those services
0	0	WhatsApp will not be responsible or liable for your use of those services, the third-party¡¯s terms, or any actions you take under the third-party¡¯s terms.
