labelpredict	labelreal	review
0	0	Last Revised: September 5, 2018
0	0	Welcome to use Words Story (OUR PRODUCT)! Your use of Product is subject to these Terms (Service or Our Service).
0	0	Your use of OUR PRODUCT is subject to the terms and conditions of these Terms of Use (Terms)
0	0	Please read these Terms carefully.
0	0	You must comply with these Terms in your use of OUR PRODUCT and only use OUR PRODUCT as permitted by applicable laws and regulations, wherever you may be when you use it
0	0	You must review these Terms to understand how you can and cannot use OUR PRODUCT
0	0	If you do not agree to these Terms, you must not download or install or otherwise use OUR PRODUCT.
0	0	You must also comply with our Privacy Policy in using Our Service
0	0	To the extent that our Privacy Policy is different from these Terms, the Privacy Policy will apply.
0	0	By downloading, installing and using OUR PRODUCT, you are agreeing to be bound by these Terms between you and Words Story Team.(We, Our and Us).
0	0	If you are under the age of 13, you must not use our services
0	0	If you are between the ages of 13 and 18 (or the relevant age in your jurisdiction where you are considered a minor), your parent or guardian must agree to these Terms (both for themselves and on your behalf) before you can use Our Service.
0	0	We may make changes to these Terms over time, so please come back and review them.
0	0	In addition, as Our Service and user experience are constantly evolving, we may from time to time (and to the extent permitted by applicable law) add, change or remove features from Our Service (including in relation to whether a service is free of charge or not), or suspend or terminate a service altogether.
0	0	By continuing to use Our Service after we make any changes to these Terms or Our Service, you are agreeing to be bound by these revised Terms.
0	0	OUR PRODUCT is developed by us
0	0	All intellectual property rights of OUR PRODUCT, as well as all other information, including but not limited to literal expression and combinations, icons, illustrations, charts, colors, interface design, layout framework, data, printed materials and electronic documents, are the exclusive property of us, and are subject to protections in accordance with the domestic and international laws and regulations, the International Copyright Treaty and other applicable laws and regulations
0	0	Except as otherwise expressly provided herein, you have no right to use our intellectual property rights
9	0	In particular, you have no right to use our trademarks or product names, logos, domain names or other distinctive brand features without our prior written consent
0	0	Any comments or suggestions you may provide to us by any means regarding Our Service are entirely voluntary and we will be free to use these comments and suggestions at our discretion without any payment or other obligation to you.
0	0	You agree not to conduct any acts that could in any way impair and/or damage our rights in connection with the intellectual property mentioned herein
0	0	We reserves the right to seek accountability for such unauthorized acts, and you shall be liable for any and all damages, losses, costs and expenses we incur in connection with your violation of these Terms.
0	0	Although we continue to own OUR PRODUCT, after your acceptance of these Terms you will have certain rights to use OUR PRODUCT during the entire time period when OUR PRODUCT is installed on your mobile device
0	0	All rights not expressly granted to you are retained by us
0	0	These Terms govern any releases, revisions, updates or enhancements to OUR PRODUCT that we may make available to you.
0	0	You may install, use, display and run OUR PRODUCT in a personal computer (Device) solely for non-commercial purposes and in accordance with these Terms
3	0	Installation, use, display or operation of OUR PRODUCT for commercial purposes is forbidden.
9	0	You shall have the right to receive new features to and versions of OUR PRODUCT as we, in our sole discretion, make such features and versions available
3	0	In order to optimize OUR PRODUCT, and to provide you with the most current version of OUR PRODUCT, you agree OUR PRODUCT can automatically download and install new updates and versions of the OUR PRODUCT as they are made available by us in our sole discretion
0	0	You agree to receive and permit us to deliver such new updates and versions to your mobile device
0	0	Additionally, we may modify these Terms to reflect such updates and versions and you agree to such updated terms.
0	0	You may not copy, modify, reverse compile, reverse engineer or extract source codes from OUR PRODUCT, except to the extent that we may not prohibit you from doing so under applicable laws or regulations or you have our prior written consent to do so
0	0	Where applicable laws or regulations entitle you to reverse compile or extract source codes from OUR PRODUCT, you will first contact us to request the information you need.
3	0	The use of Our Service may involve the collection and use of your Information on Our Service
0	0	It is important for you to understand how this happens and how you may control it
0	0	By using Our Service, you confirm that you have read and consent to our following activities:
1	1	a)the collection of the information as how you use OUR PRODUCT (such as the time when you install OUR PRODUCT, version of OUR PRODUCT you are using, how you use the various functions and features that available to you), the information about your mobile device (such asthe operating system, hardware version, device settings, device identifiers) and your communication with us
