labelpredict	labelreal	review
0	0	Last Updated: September 26, 2018
0	0	Mobile War develops and publishes social games for the web and mobile devices including World War Rising
0	0	In this policy, Mobile War, we, or us, refers to Mobile War LLC and its Affiliates, which shall mean subsidiaries, parent companies, joint ventures and other corporate entities under common ownership.
0	0	(MZ) is the data controller of your personal information
0	0	Machine Zone Germany GmbH (HR B 131970), with the contact email address MZ_Gmbh@mz.com, is our representative in the European Union
4	4	Our data protection officer can be contacted at dataprotectionofficer@mz.com.
0	0	This Privacy Policy applies whenever you use our Services, which means our games, products, services, content, www.mobilewar-online.com and/or other domains or websites operated by us
0	1	We have prepared this Privacy Policy to help you as the user of the Services (you or user) understand how we collect, store, use, and manage information, including personal data, that you provide to us or we collect about you when you use the Service.
0	0	When you use a Service, you consent to each of the collections, uses and disclosures of information (including recording and tracking) described in this Privacy Policy
0	0	Please read it carefully
0	0	Each of the Services has its own specific privacy policy, and if you download, access, or use a Service, you agree to also be bound by its specific privacy policy
0	0	IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT USE ANY SERVICE.
0	0	This Privacy Policy covers the following topics:
0	1	Information we collect about you
3	3	How we use the information we collect and our legal bases for processing it
0	0	Sharing of your information
0	0	Our policies concerning children
0	0	Your rights and how to access, update, and manage your personal information
3	0	Opting out of push and local notifications
0	0	How long we keep your information
0	0	Privacy policies of linked sites
4	4	If you have questions regarding this Privacy Policy or our collection and use of personal information, please contact us as described in the Section Contact Us.
1	1	The personal information we collect or have about you will either be provided by you directly, come from other sources or will be collected from your activity on our website or applications and use of the Service as set out below.
0	0	(a) Information we collect from you directly
0	1	When you interact with the Service, at www.worldwarrising.com, www.mobilewar-online.com, any other Mobile War ??owned website, or download the Service from a third-party app store, we will collect and store information from you directly as described below, to the extent it is available to us.
0	1	You can register with us by using Facebook Connect or other application authentication options to create an account or profile within the Service
0	1	We also provide a more typical registration flow where we will collect the following information from you:
0	0	Age (for age screening and/or to better understand who our users are)
0	0	We may also offer you the option to complete a user profile that is visible to other Service users
0	0	Your user profile may include: a profile image; one or more Service username(s); and an MZ user ID number that is created by MZ and used to identify your profile.
0	1	If you access the Service on your mobile telephone or other mobile device, including iPads and tablets, we collect the following information about you, to the extent it is available:
0	0	We will create and assign to your device an identifier that is similar to an account number
1	1	We will also collect the following information about you, to the extent it is available:
0	0	Name you have associated with your device
0	0	Your contacts to enable you to invite friends to join you in the Service.
0	0	When you use the Service, you will get access to the online gaming community within the Service which gives you the opportunity to communicate or share information not just with us, but also with other users of our Service through:
0	0	Participating in player forums and message boards;
0	0	Posting public comments to other users??profiles or game boards;
0	1	Sending private messages or invitations to other users, either directly on our websites or to their e-mail accounts;
0	0	Posting web links.
0	0	When you participate in online gaming communities in the ways described above, we access and store information about you
0	0	The information we store varies by application, and is affected by the privacy settings you and your friends establish in that application
0	0	You can control and find out more about these settings within the application
0	0	We will collect the following information:
0	0	Depending on how you log into the Services, Facebook User ID;
0	0	If provided by you, your e-mail address and phone number.
1	1	We will also receive billing and payment information (which is comprised of transaction history, including what you have purchased, the price, and the date) that you provide when your purchase is processed by another party, such as Apple (for purchases on iOS devices), Google (for purchases on Android devices), or Amazon (for purchases on Kindle devices)
0	0	These third-party payment processors do not share your financial information, like credit card numbers, with us.
1	1	When you ask for assistance from our Customer Support team, we will collect and store:
0	0	Any correspondence connected to the assistance provided to you
0	0	When you access our Services, we collect your:
1	1	We also collect pseudonymous usage statistics about your interactions with the Service
3	0	This information is typically collected through the use of server log files or web log files (Log Files), mobile device software development kits and tracking technologies like browser cookies to collect and analyze certain types of technical information
0	0	Some of the cookies the Service places on your computer are linked to your user ID number(s)
0	0	For more information on how we utilize cookies and other tracking technologies, please refer to Ad identifiers, cookies, and similar technologies.
0	0	(b) Information we collect from other sources
1	0	We will collect or receive information from the following other sources (i) other Service users who choose to upload their email contacts; (ii) third party information providers such as digital advertising companies; and (iii) social networking sites.
3	0	To provide our games, websites and interest-based advertising, we use ad identifiers, cookies and similar technologies
0	0	This section describes our use of these technologies and how you can manage your preferences.
0	0	Find out more
0	3	HOW WE USE THE INFORMATION WE COLLECT AND OUR LEGAL BASES FOR PROCESSING IT
3	3	In general, we collect, store and use your information to provide you with a safe, smooth, efficient, fun, and customized experience, and we use it as necessary to provide you with the Service pursuant to the Terms of Use, for our legitimate interest to understand how our users navigate our websites and apps and to improve our services, including the Service, or on the basis of your consent.
0	0	 In litigation or for other legal purposes involving us or a third party, we may also need to transfer your personal information to countries with a lower standard of data protection laws than is applicable in your country of residence.
3	3	We will use information collected from you in any one or more of the following ways:
0	0	To create your Service accounts and allow access to our Services;
3	0	To identify and suggest connections with other users;
