labelpredict	labelreal	review
0	0	Zynga¡¯s mission is to connect the world through games
0	0	We deliver fun, social entertainment experiences to people around the world
3	0	In pursuit of our mission, we collect and use certain information from our players
0	0	Being transparent about our use of players??information and respecting their privacy is incredibly important to Zynga.
0	0	This Privacy Policy applies when you use our Services (described below)
0	0	Please read it before using Zynga¡¯s Services because it will tell you how we collect, store, use, and disclose your personal information when providing these Services to you.
4	4	If you have questions, comments, or concerns regarding our Privacy Policy or practices, please Contact Us.
0	0	Information We Collect And How We Collect It
3	3	How We Use Information We Collect And Our Legal Bases For Processing It
0	3	How We Share Information
3	2	How Long We Keep Your Information
0	0	Zynga offers a variety of online and mobile games
0	0	Our Privacy Policy applies whenever you use our ¡°Services,??which means our games, products, services, content, Zynga.com, and/or other domains or websites operated by Zynga
0	0	It describes the ways we use your information and your rights and choices concerning your information.
0	0	¡°Zynga,??¡°we,??¡°our,??or ¡°us??in this Privacy Policy refers to Zynga Inc
0	0	and any other corporate entities under common ownership with Zynga Inc., including without limitation Zynga Game Ireland Limited (¡°Affiliated Entities??.
0	0	For purposes of data protection laws, if you are located in the United States, Zynga Inc
0	0	is the ¡°data controller??of your personal information
0	0	If you are located anywhere other than the United States, Zynga Game Ireland Limited is the ¡°data controller??of your personal information
0	0	We will refer to countries in the European Union (EU) and the European Economic Area (EEA) and Switzerland collectively as the ¡°European Countries??in this Privacy Policy.
0	0	This Privacy Policy applies whenever you use our ¡°Services,??which means our games, products, services, content, Zynga.com, and/or other domains or websites operated by Zynga
0	0	It describes how we collect, store, use, and disclose your personal information when providing these Services to you, and your rights and choices concerning your information
0	0	The Privacy Policy¡¯s sections are listed and hyperlinked in the Table of Contents above for easier navigation.
0	0	If you do not want Zynga to collect, store, use, or share your information in the ways described in this Privacy Policy, you may not play Zynga¡¯s games or use Zynga¡¯s other Services.
0	0	Information We Collect and How We Collect It
1	0	We¡¯ll collect and store any information that you provide to us, including when you create your account or a player profile.
0	0	Information About You That You Share With Us Directly
0	0	When you use our Services, you may give us information directly (like when you¡¯re setting up your account), and we¡¯ll store that information on our systems and use it for the purposes described in this Privacy Policy.
0	1	Some games or parts of our Services may use a more traditional registration or account set-up process where you may be asked to give us information like
1	0	other information that helps us make sure it¡¯s you accessing your account or helps us improve our services.
0	0	We may also let you create a player profile that other Zynga players can see
0	0	Your player profile may include information like:
0	0	the approximate physical location information that you provide;
0	0	details about the games you play; and/or
0	1	a Zynga player ID that is created by Zynga and used to identify your game account (on Zyngagames.com, your Zynga player ID will appear in the URL of your profile page).
0	0	If you give us your mobile telephone number (including for SMS text messaging services), we will also collect and store that number.
1	0	We¡¯ll collect information that you provide to us about your contacts, but be sure to ask their permission first.
0	0	We may give you the ability to import your address book contacts or to manually enter them so that you can locate your contacts using Zynga Services and invite them to join you in our games or other aspects of our Services
0	0	You are responsible for getting your contacts??permission before you give their contact details to us
0	0	We may also get information about you from other Zynga users importing or entering their contacts
3	0	We use and may store this contact information to help you and your contacts connect through our Services
0	0	If you want to remove your contacts stored by us, follow any instructions provided in the Service to request that we remove them from our systems or Contact Us
0	0	If you need to enter a password to allow us to access your address book, we will not store that password.
3	0	Information You Generate Using Our Services
1	0	We¡¯ll collect information about the ways you use and interact with our Services.
1	0	When you use our Services, we¡¯ll collect information about the ways in which you use and interact with our Services, such as when and for how long you play our games, game features and other players you interact with, purchases you make, progress or levels you achieve, and other gameplay activities.
0	0	If you choose to use communication features in Zynga Services that allow you to communicate or share information with other players, then we¡¯ll collect information on what is communicated or shared
0	0	your non-public messages or invitations to other players, made either directly on our websites or through in-game mechanisms;
0	0	your chats with other players (whether by instant message, live chat, or video); and/or
0	0	your posted photos, drawings, or other user-generated content.
3	0	We may access in real-time, record, and/or store archives of these communications, comments, photos, drawings, and other user-generated content on Zynga¡¯s servers to make use of them to protect the safety and well-being of our players; to protect Zynga¡¯s rights and property in connection with our Services; to conduct research; to operate, improve, personalize, and optimize our Services and our players??experiences, including through the use of analytics; and to manage and deliver advertising
0	0	Where required by law, we will seek your consent for this.
0	1	We¡¯ll collect information related to any purchases you make.
0	0	If you purchase in-game virtual currency or items in a game you play on Zyngagames.com, our third-party payment processor will collect the billing and financial information it needs to process your charges
1	0	This may include your postal address, e-mail address, and financial information
0	0	Zynga¡¯s payment processors do not share your financial information, like credit card numbers, with Zynga, but they may share non-financial information with us related to your purchases, like your name, billing address, and the items purchased.
0	0	When you play Zynga¡¯s games or access any of our other Services on connected third-party applications or platforms (like Facebook, Apple, Google, or Amazon), any purchases you make will be processed by that third-party application and subject to that third-party application¡¯s terms of service and privacy policy
0	0	For these purchases, Zynga does not receive your financial information, but may receive non-financial information related to your purchases, like your name, approximate physical location, and the items purchased
0	0	The information Zynga receives depends on the Zynga game you¡¯re playing and the third-party application
0	0	Zynga¡¯s Terms of Service explain our policies and terms related to charges, billing, third-party credits, and virtual currencies
0	0	Please note that purchases of third-party credits or currencies are also subject to those parties??terms of service and privacy policies.
0	0	We¡¯ll keep a record of any correspondence between us.
1	0	When you ask for help from our Customer Support team, we will collect and store the contact information you give them (generally, your name and e-mail address), information about your game play or activity on our Services, and your Zynga player and/or social network ID number
3	0	We will also store the communications you have with our Customer Service team and any additional information in those communications in order to provide support and improve the Services.
0	0	Information About You That We Get From Connected Third-Party Applications, Including Social Networks
1	0	We¡¯ll collect some information from other companies, including social networks, if you access our games through your accounts with those companies or you choose to connect your accounts with those companies to our games.
0	0	If you play Zynga¡¯s games or access any of our other Services on connected third-party applications or connect our Services to any third-party applications, including social networks like Facebook, Zynga may receive certain information about you from the provider of the third-party application
0	0	The information we receive depends on the Zynga game you¡¯re playing, the third-party application, your privacy settings, and, if applicable, your friends??privacy settings on that third-party application.
1	1	For example, Zynga may collect and store some or all of the following information from the provider of the connected third-party application:
0	0	your user identification number (like your Facebook ID number), which may be linked to publicly-available information like your name and profile photo;
0	0	the e-mail address you provided to that third-party application;
0	0	your approximate physical location and that of the devices you use to access our Services;
1	0	information about your activities on or through the connected third-party application;
0	0	If you access our Services from a third-party application or connect our Services to a third-party application, you should also read that third-party application¡¯s terms of service and privacy policy.
0	0	If you are unclear about what information a third-party application is sharing with us, please go to the third-party application to find out more about their privacy practices.
1	1	We¡¯ll collect information about your device and how you use our Services, including using cookies
0	0	As further described in our Cookie Notice, we use cookies and other similar technologies (e.g., beacons, pixel tags, clear gifs, and device identifiers) to recognize you and/or your device(s) on, off, and across different Services and devices
0	0	We also allow others to use cookies and similar technologies as described in our Cookie Notice
0	0	You can control or opt out of the use of cookies and similar technologies that track your behavior on the sites of others for third-party advertising, as described in our Cookie Notice.
0	1	We, our service providers, and our business partners use these cookies and other similar technologies to collect and analyze certain kinds of technical information, including:
0	1	the type of computer or mobile device you are using;
0	0	referring and exit pages, and URLs;
0	0	the amount of time spent on an app feature or web page;
3	0	pages viewed and the order of those pages; and/or
0	0	In some cases, we will connect the above information with your social network ID or Zynga user ID.
0	0	If you play Zynga games on a mobile device, in addition to your device identifiers (described above), we may also collect:
0	0	the name you have associated with your device;
1	0	your telephone number (if you provide it);
0	0	your mobile contacts (with your permission, as described further in Information About Your Contacts); and/or
0	0	information about the Zynga games and other third-party apps you have on your device.
0	0	If you want to adjust your privacy preferences on your device, please see How to Access, Update, and Manage Your Personal Information.
0	1	We may collect information from other third-party sources
0	0	Where we do, we¡¯ll let you know.
1	1	We may collect or receive information about you from other sources like third-party information providers
3	2	We use this information along with information you provide us directly, for example, to help you and your friends connect or to serve you advertising more tailored to your interests.
0	3	How We Use Information We Collect and Our Legal Bases for Processing It
3	3	We use your information to provide, personalize, maintain the security of, and improve the Services you use; to maintain our business operations; and to exercise, defend or establish our rights
3	3	We use your information under several legal bases, including to perform our contract with you, for our legitimate business interests, to comply with our legal obligations, or otherwise with your consent.
3	3	The main use of the information we collect and store is to provide you with the Services you request from us and to improve your gaming experience, but there are other uses as well
0	3	The uses for which we collect and store your information include:
3	3	to improve and optimize our Services and our players??experiences;
3	3	to create your game accounts and allow you to play our games;
3	0	to identify and suggest connections with other Zynga players and personalize our Services to you;
0	0	to communicate with you about the Services you¡¯re using, including in-game updates, new Services, and promotional offers that we think might be of interest to you;
3	0	to enable players to communicate with each other;
3	0	to provide technical support and respond to player inquiries;
3	0	to protect the safety and well-being of our players;
0	0	to protect Zynga¡¯s rights and property in connection with our Services;
0	0	to prevent fraud or potentially illegal activities, and to enforce our Terms of Service;
3	0	to manage and deliver contextual and behavioral advertising;
