labelpredict	labelreal	review
0	0	By registering and using YUBO you will provide to us, and we will collect, information about you, including information used to identify you
0	0	This is what we call your ¡°Personal Data??
0	0	This means data that lets you identify yourself directly, like your family name, first name or your image, or indirectly such as your password, phone number, or your browsing or session data
0	0	It is important for you to know how this Data is collected, what we do with it and for how long, so you can be fully informed about your rights
0	0	This is why we have prepared this document, which we have tried to make as clear and simple as possible
4	0	If, despite our efforts, you would still like to ask us any questions please do not hesitate to contact us using the contact details in section 10.
0	0	This Privacy Policy is an integral part of our General Terms of Use for YUBO
0	0	It should therefore be read alongside our General Terms of Use.
0	0	WHO IS RESPONSIBLE FOR PROCESSING YOUR PERSONAL DATA?
0	0	We are a French company and our head office is at 8 rue de Charonne, 75011 Paris, France.
0	0	TWELVE APP publishes the YUBO application, a social network that enables you to make friends and chat with them, in particular through live video.
3	1	In order to operate YUBO, we collect the information (i) which you provide to us directly, as well as (ii) data which we collect automatically.
0	0	(i) Data you provide to us directly
0	0	Registration data: in order to be able to use YUBO, you must create an account and provide us with the following personal details:
0	0	Your mobile number (which is not shared with other users)
0	0	Your name and pseudonym (both of which are visible to other users)
0	0	Your date of birth: this information will not be provided to other users, although they will be able to see your age
0	0	Minors under 13 are not permitted to use YUBO.
0	0	If you are a minor aged between 13 and 16, you may require permission from your legal guardian in order to register on YUBO.
0	0	Your gender: you can choose whether or not to specify you are male or female, but you must tick one of the boxes
0	0	This information will not be visible to other users.
0	0	Your profile picture: the photo that you choose to use as your profile picture must be of you
0	0	This will allow other users to identify you on YUBO and allow us to ensure that people do not use false profiles, which guarantees not only the security of the application, but your security too.
0	0	The password that will enable you to log into your account
0	0	Naturally, this data is not visible to other users, and you should never share it with other users
0	0	Your password is personal and secret
0	0	It must contain at least 8 alphanumeric characters
0	0	It is required to ensure the security of your account.
0	3	All this information is mandatory in order for you to create your profile and to register on YUBO.
0	0	You may, if you so wish, complete other sections of your profile (emoji biog, social networks, e-mail)
0	0	This information is optional.
