word,weight
opera,0.008652999
devices,0.145134815
opera touch,0.063988191
statement,0.036454825
data,0.009845887
privacy statement,0.042362552
opera touch browser,0.097817765
unite pte,0.151700121
opera unite pte,0.039984732
websites,0.066851565
firebase cloud messaging,0.020209099
firebase,0.071136241
user,0.163861133
browser,0.059260176
apps opera,0.082912849
cloud messaging,0.045432341
facebook,0.059084857
software applications,0.162725413
servers,0.118229015
provide,0.128890089
personal,0.129872879
economic area,0.050630428
yandex mobile,0.094216528
yandex mobile ads,0.063161592
ads sdk,0.087082221
account,0.119443802
user license agreements,0.117326488
yandex,0.072357636
ads,0.096823822
opera browser,0.136350864
google,0.044107242
email,0.160235233
opera unite,0.061349952
address,0.070080549
sdk,0.043770378
end user,0.158826934
browsers mobile apps,0.133759644
opera for computers,0.14582944
services,0.026251483
collect,0.034790577
applications,0.022778917
purpose,0.158847018
mobile ads sdk,0.051167384
appsflyer,0.122400147
mobile ads,0.134653208
messaging,0.097414434
end user license,0.115617344
third-party,0.135052708
privacy,0.047947016
opera turbo,0.127391482
mobile apps opera,0.045173596
firebase cloud,0.040823932
mobile,0.054782016
data protection officer,0.089426639
request,0.096752622
opera account,0.038804035
flow,0.074361611
settings,0.082033298
collect personal data,0.103081846
opera application crashes,0.103283967
service,0.131257413
facebook sdk,0.030463683
european economic area,0.012163657
opera software applications,0.088188381
personal data,0.077466027
user license,0.159526269
google admob,0.065272512
applications and services,0.053390109
european economic,0.051406845
include,0.166418912
cloud,0.098665151
opera application,0.041636296
mobile applications,0.058705916
license agreements,0.161115804
information,0.036060114
log,0.151451477
mini,0.101434624
device,0.145134815
data protection,0.118579846
opera mini,0.025112919
