sentiment,review
0,Computer browsers Mobile apps Opera
0,"If you live in the European Economic Area, please read this Privacy Statement."
0,Privacy Statement
0,"Last updated on June 18, 2019."
0,Introduction
0,This is the privacy statement of Opera Unite Pte.
3,"Ltd. (”Opera“), an Opera group company."
0,"The statement applies to all Opera software applications, websites and services."
0,"As a general rule, users of our software applications and services are anonymous to us, and we have no feasible ways to identify you."
0,"However certain categories of data may be collected while using our applications and services, and some of this information may be considered personal data by the law."
0,"When we collect personal data, we generally act as a data controller as defined in applicable law."
0,"The exact categories of data we collect, why we collect it, and your opt-out choices depend on the application or service you use, as is more fully described below."
0,"When we post changes to this privacy statement, we will include the date when the statement was last updated."
0,"If we significantly change this statement, we will notify you about the upcoming change via our website or using in-app notifications."
0,We encourage you to review this statement periodically.
0,User-submitted data
0,Certain pieces of information we will only process when you submit it to us.
0,"For example, to create an Opera account we may ask for a preferred username and an email address (to authenticate the request and for password recovery)."
0,"Alternatively you can use your Facebook, Google+, Twitter, or VK account to sign in into an Opera account and access our services with the same profile."
1,In this case we may collect your name and email address from these social networks.
6,You can delete or modify the submitted data using your profile page.
2,We retain any data up to seven days after you've discontinued your Opera account in case you change your mind.
0,"Note also that Opera allows you to sync your browser data, such as Speed Dial entries and bookmarks, between devices that have another Opera browser installed on them."
0,Profile sync relies on your Opera account and follows the same privacy approach.
0,"If you decide to participate in a promotional campaign, we may ask for your name, age, or postal address."
0,"If you submit your phone number or email address on a download page, we may send you an application download link via SMS or email for your convenience."
3,We will use this data only to provide the services you have requested and will not retain your data any longer than necessary to fulfill that specific purpose.
0,"If you’re not comfortable with us using this data for this limited purpose, then don‘t provide it to us."
0,Anonymous usage statistics
0,"When you install an Opera application, a random installation ID is generated."
0,"We may collect this identifier, as well as your device ID and hardware specification, operating system and environment configuration, and feature usage data."
3,"We use this information for certain legitimate business purposes, namely:"
0,To understand better how people interact with our applications and services;
0,"To enhance, modify, personalize or otherwise improve our applications and services;"
